Gene	Num.sgRNA	Library.ES	Initial.ES	Final.ES	EnrichmentRatio	pval	qval
ADAMTS13	6	921.722222	2688.166667	3413.722222	0.344723	0.1948748817329223	0.0186083471531233
ADAMTS14	6	3427.277778	1611.166667	2732.111111	0.761910	0.0608889268828041	0.0079878385848535
ADAMTS15	6	2886.333333	1963.944444	1715.555556	-0.195078	0.8210781316863058	0.0445803390455132
ADAMTS16	6	3277.833333	1554.500000	2844.388889	0.871668	0.0259065032143442	0.0042334623180394
ADAMTS17	6	53.333333	3542.333333	883.166667	-2.003942	0.0897552914669648	0.0105514096185738
ADAMTS18	6	1499.055556	756.333333	2209.666667	1.546735	0.1567852790057566	0.0157407407407407
ADAMTS19	6	915.555556	2485.833333	1601.111111	-0.634656	0.2637712847979925	0.0227681039248203
ADAMTS2	6	2504.888889	2402.944444	2977.666667	0.309379	0.3935985890696128	0.0293486272341994
ADAMTS20	6	1297.666667	930.000000	485.277778	-0.938420	0.4217073289328228	0.0305578588538788
ADAMTS3	6	2053.777778	2633.111111	1809.777778	-0.540956	0.4332716608966481	0.0310461580983969
ADAMTS4	6	2343.333333	1979.500000	3038.333333	0.618144	0.1621055468581080	0.0161553344389165
ADAMTS5	6	1925.833333	2624.722222	1159.500000	-1.178662	0.0579226388180744	0.0076838032061913
ADAMTS6	6	3046.277778	606.722222	2574.444444	2.085153	0.0587214925897665	0.0077736318407960
ADAMTS7	6	796.833333	3182.500000	1814.000000	-0.810986	0.0229976878862772	0.0038833609729132
